Study Abbreviation	Study Name
TCGA-ACC	Adrenocortical carcinoma
TCGA-BLCA	Bladder Urothelial Carcinoma
TCGA-BRCA	Breast invasive carcinoma
TCGA-CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
TCGA-CHOL	Cholangiocarcinoma
TCGA-COAD	Colon adenocarcinoma
TCGA-COADREAD	Colorectal adenocarcinoma
TCGA-DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
TCGA-ESCA	Esophageal carcinoma 
TCGA-FPPP	FFPE Pilot Phase II
TCGA-GBM	Glioblastoma multiforme
TCGA-GBMLGG	Glioma
TCGA-HNSC	Head and Neck squamous cell carcinoma
TCGA-KICH	Kidney Chromophobe
TCGA-KIPAN	Pan-kidney cohort (KICH+KIRC+KIRP)
TCGA-KIRC	Kidney renal clear cell carcinoma
TCGA-KIRP	Kidney renal papillary cell carcinoma
TCGA-LAML	Acute Myeloid Leukemia
TCGA-LCML	Chronic Myelogenous Leukemia
TCGA-LGG	Brain Lower Grade Glioma
TCGA-LIHC	Liver hepatocellular carcinoma
TCGA-LUAD	Lung adenocarcinoma
TCGA-LUSC	Lung squamous cell carcinoma
TCGA-MESO	Mesothelioma
TCGA-OV	Ovarian serous cystadenocarcinoma
TCGA-PAAD	Pancreatic adenocarcinoma
TCGA-PANCAN12	PANCANCER cohort with 12 disease types
TCGA-PANCAN18	PANCANCER cohort with 18 disease types
TCGA-PANCAN8	PANCANCER cohort with 8 initial disease types
TCGA-PANCANCER	Complete PANCANCER set
TCGA-PANGI	Gastric carcinoma (COADREAD+STES)
TCGA-PCPG	Pheochromocytoma and Paraganglioma
TCGA-PRAD	Prostate adenocarcinoma
TCGA-READ	Rectum adenocarcinoma
TCGA-SARC	Sarcoma
TCGA-SKCM	Skin Cutaneous Melanoma
TCGA-STAD	Stomach adenocarcinoma
TCGA-STES	Stomach and Esophageal carcinoma
TCGA-TGCT	Testicular Germ Cell Tumors
TCGA-THCA	Thyroid carcinoma
TCGA-THYM	Thymoma
TCGA-UCEC	Uterine Corpus Endometrial Carcinoma
TCGA-UCS	Uterine Carcinosarcoma
TCGA-UVM	Uveal Melanoma
CPTAC3-SAR	Sarcoma
CPTAC3-PDA	Pancreatic Ductal Adenocarcinoma
CPTAC3-HNSCC	Head and Neck Squamous Cell Carcinoma
CPTAC3-CM	Cutaneous Melanoma
CPTAC3-LSCC	Lung Squamous Cell Carcinoma
CPTAC3-LUAD	Lung Adenocarcinoma
CPTAC3-UCEC	Uterine Corpus Endometrial Carcinoma
CPTAC3-CCRCC	Clear Cell Renal Cell Carcinoma
CPTAC3-AML	Acute Myeloid Leukemia
CPTAC3-GBM	Glioblastoma Multiforme
